,ppm,values
118,-3.1810167148001107,0.0
119,-3.1805276595684755,0.0
120,-3.1800386043368403,0.0
121,-3.1795495491052055,0.0
122,-3.1790604938735703,0.0
123,-3.178571438641935,0.0
124,-3.1780823834103,0.0
125,-3.1775933281786646,0.0
126,-3.1771042729470294,0.0
127,-3.176615217715394,0.0
128,-3.1761261624837593,0.0
129,-3.175637107252124,0.0
130,-3.175148052020489,0.0
131,-3.1746589967888537,0.0
132,-3.1741699415572184,0.0
133,-3.173680886325583,0.0
134,-3.1731918310939484,0.0
135,-3.172702775862313,0.0
136,-3.172213720630678,0.0
137,-3.1717246653990427,0.0
138,-3.1712356101674075,0.0
139,-3.1707465549357723,0.0
140,-3.170257499704137,0.0
141,-3.1697684444725023,0.0
142,-3.169279389240867,0.0
143,-3.168790334009232,0.0
144,-3.1683012787775966,0.0
145,-3.1678122235459614,0.0
146,-3.167323168314326,0.0
147,-3.1668341130826914,0.0
148,-3.166345057851056,0.0
149,-3.165856002619421,0.0
150,-3.1653669473877857,0.0
151,-3.1648778921561505,0.0
152,-3.1643888369245152,0.0
153,-3.16389978169288,0.0
154,-3.163410726461245,0.0
155,-3.16292167122961,0.0
156,-3.1624326159979748,0.0
157,-3.1619435607663395,0.0
158,-3.1614545055347043,0.0
159,-3.160965450303069,0.0
160,-3.1604763950714343,0.0
161,-3.159987339839799,0.0
162,-3.159498284608164,0.0
163,-3.1590092293765286,0.0
164,-3.1585201741448934,0.0
165,-3.158031118913258,0.0
166,-3.157542063681623,0.0
167,-3.157053008449988,0.0
168,-3.156563953218353,0.0
169,-3.1560748979867177,0.0
170,-3.1555858427550825,0.0
171,-3.1550967875234472,0.0
172,-3.154607732291812,0.0
173,-3.154118677060177,0.0
174,-3.153629621828542,0.0
175,-3.153140566596907,0.0
176,-3.1526515113652716,0.0
177,-3.1521624561336363,0.0
178,-3.151673400902001,0.0
179,-3.151184345670366,0.0
180,-3.150695290438731,0.0
181,-3.150206235207096,0.0
182,-3.1497171799754606,0.0
183,-3.1492281247438254,0.0
184,-3.14873906951219,0.0
185,-3.148250014280555,0.0
186,-3.1477609590489197,0.0
187,-3.147271903817285,0.0
188,-3.1467828485856497,0.0
189,-3.1462937933540145,0.0
190,-3.1458047381223793,0.0
191,-3.145315682890744,0.0
192,-3.144826627659109,0.0
193,-3.144337572427474,0.0
194,-3.143848517195839,0.0
195,-3.1433594619642036,0.0
196,-3.1428704067325683,0.0
197,-3.142381351500933,0.0
198,-3.141892296269298,0.0
199,-3.1414032410376627,0.0
200,-3.140914185806028,0.0
201,-3.1404251305743927,0.0
202,-3.1399360753427574,0.0
203,-3.139447020111122,0.0
204,-3.138957964879487,0.0
205,-3.1384689096478517,0.0
206,-3.137979854416217,0.0
207,-3.1374907991845817,0.0
208,-3.1370017439529465,0.0
209,-3.1365126887213113,0.0
210,-3.136023633489676,0.0
211,-3.135534578258041,0.0
212,-3.1350455230264056,0.0
213,-3.134556467794771,0.0
214,-3.1340674125631356,0.0
215,-3.1335783573315004,0.0
216,-3.133089302099865,0.0
217,-3.13260024686823,0.0
218,-3.1321111916365947,0.0
219,-3.13162213640496,0.0
220,-3.1311330811733247,0.0
221,-3.1306440259416894,0.0
222,-3.130154970710054,0.0
223,-3.129665915478419,0.0
224,-3.1291768602467838,0.0
225,-3.1286878050151485,0.0
226,-3.1281987497835138,0.0
227,-3.1277096945518785,0.0
228,-3.1272206393202433,0.0
229,-3.126731584088608,0.0
