ppm,values
-0.9026,-0.11268
-0.9025,0.22566
-0.9024,0.57343
-0.9023,0.9344
-0.9022,1.3098
-0.9021,1.6906
-0.902,2.0537
-0.9019,2.3667
-0.90181,2.601
-0.90171,2.7464
-0.90161,2.8141
-0.90151,2.8262
-0.90141,2.8031
-0.90131,2.7586
-0.90121,2.7013
-0.90111,2.6376
-0.90101,2.5693
-0.90091,2.4925
-0.90081,2.3993
-0.90072,2.283
-0.90062,2.1434
-0.90052,1.9827
-0.90042,1.7969
-0.90032,1.5683
-0.90022,1.2689
-0.90012,0.87522
-0.90002,0.38613
-0.89992,-0.16832
-0.89982,-0.7355
-0.89972,-1.2621
-0.89962,-1.7154
-0.89953,-2.0901
-0.89943,-2.4002
-0.89933,-2.6612
-0.89923,-2.8781
-0.89913,-3.0448
-0.89903,-3.1544
-0.89893,-3.2121
-0.89883,-3.2391
-0.89873,-3.2637
-0.89863,-3.308
-0.89853,-3.3759
-0.89843,-3.4536
-0.89833,-3.5186
-0.89824,-3.5528
-0.89814,-3.5486
-0.89804,-3.5093
-0.89794,-3.4461
-0.89784,-3.375
-0.89774,-3.3113
-0.89764,-3.2605
-0.89754,-3.2129
-0.89744,-3.1483
-0.89734,-3.0485
-0.89724,-2.9067
-0.89714,-2.7273
-0.89704,-2.5224
-0.89695,-2.3061
-0.89685,-2.0899
-0.89675,-1.8762
-0.89665,-1.6538
-0.89655,-1.403
-0.89645,-1.1088
-0.89635,-0.77539
-0.89625,-0.43041
-0.89615,-0.11525
-0.89605,0.13223
-0.89595,0.29114
-0.89585,0.36051
-0.89576,0.35436
-0.89566,0.29603
-0.89556,0.21485
-0.89546,0.14261
-0.89536,0.10725
-0.89526,0.12613
-0.89516,0.20409
-0.89506,0.3365
-0.89496,0.51205
-0.89486,0.71243
-0.89476,0.91184
-0.89467,1.08
-0.89457,1.1897
-0.89447,1.2263
-0.89437,1.1934
-0.89427,1.109
-0.89417,0.99582
-0.89407,0.87405
-0.89397,0.76058
-0.89387,0.67082
-0.89377,0.61926
-0.89367,0.61718
-0.89357,0.66826
-0.89347,0.76419
-0.89338,0.88384
-0.89328,0.99969
-0.89318,1.0891
-0.89308,1.1429
-0.89298,1.1663
-0.89288,1.1715
-0.89278,1.1698
-0.89268,1.1668
-0.89258,1.1639
-0.89248,1.1608
-0.89238,1.1587
-0.89228,1.1622
-0.89219,1.1773
-0.89209,1.2064
-0.89199,1.2443
-0.89189,1.2792
-0.89179,1.2988
-0.89169,1.295
-0.89159,1.2651
-0.89149,1.2106
-0.89139,1.1374
-0.89129,1.0525
-0.89119,0.95962
-0.89109,0.85589
-0.89099,0.73442
-0.89089,0.59054
-0.8908,0.42886
-0.8907,0.26699
-0.8906,0.13281
-0.8905,0.056285
-0.8904,0.059418
-0.8903,0.14759
-0.8902,0.30476
-0.8901,0.49425
-0.89,0.66683
-0.8899,0.77631
-0.8898,0.79815
-0.8897,0.74172
-0.88961,0.64788
-0.88951,0.57122
-0.88941,0.55577
-0.88931,0.61716
-0.88921,0.7394
-0.88911,0.88647
-0.88901,1.023
-0.88891,1.1335
-0.88881,1.2274
-0.88871,1.3246
-0.88861,1.4332
-0.88852,1.5389
-0.88842,1.6138
-0.88832,1.6332
-0.88822,1.5874
-0.88812,1.484
-0.88802,1.3446
-0.88792,1.1949
-0.88782,1.0555
-0.88772,0.9368
-0.88762,0.83698
-0.88752,0.74322
-0.88742,0.63706
-0.88733,0.50408
-0.88723,0.34046
-0.88713,0.15055
-0.88703,-0.060431
-0.88693,-0.28994
-0.88683,-0.53771
-0.88673,-0.80533
-0.88663,-1.0945
-0.88653,-1.4006
-0.88643,-1.7062
-0.88633,-1.9827
-0.88623,-2.2016
-0.88614,-2.3479
-0.88604,-2.4254
-0.88594,-2.4513
-0.88584,-2.4444
-0.88574,-2.4177
-0.88564,-2.3777
-0.88554,-2.3295
-0.88544,-2.2832
-0.88534,-2.2572
-0.88524,-2.2716
-0.88514,-2.3352
-0.88504,-2.4353
-0.88494,-2.5394
-0.88484,-2.6104
-0.88475,-2.6243
-0.88465,-2.5792
-0.88455,-2.4881
-0.88445,-2.3637
-0.88435,-2.2085
-0.88425,-2.0171
-0.88415,-1.7864
-0.88405,-1.5218
-0.88395,-1.2353
-0.88385,-0.93702
-0.88375,-0.63
-0.88365,-0.31162
-0.88356,0.018371
-0.88346,0.35215
-0.88336,0.67595
-0.88326,0.97717
-0.88316,1.2481
-0.88306,1.4822
-0.88296,1.6695
-0.88286,1.7972
-0.88276,1.8557
-0.88266,1.8403
-0.88256,1.7473
-0.88247,1.5716
-0.88237,1.3115
-0.88227,0.97575
-0.88217,0.58745
-0.88207,0.18313
-0.88197,-0.1953
-0.88187,-0.51222
-0.88177,-0.74716
-0.88167,-0.89746
-0.88157,-0.97679
-0.88147,-1.0111
-0.88137,-1.031
-0.88127,-1.0637
-0.88118,-1.1252
-0.88108,-1.2168
-0.88098,-1.3263
-0.88088,-1.4372
-0.88078,-1.5406
-0.88068,-1.6398
-0.88058,-1.7426
-0.88048,-1.8474
-0.88038,-1.9366
-0.88028,-1.9805
-0.88018,-1.9486
-0.88008,-1.8204
-0.87999,-1.5914
-0.87989,-1.2729
-0.87979,-0.88739
-0.87969,-0.46095
-0.87959,-0.01831
-0.87949,0.41963
-0.87939,0.8366
-0.87929,1.2222
-0.87919,1.5714
-0.87909,1.8812
-0.87899,2.146
-0.87889,2.3576
-0.87879,2.5074
-0.8787,2.5889
-0.8786,2.595
